District,Beshear/Coleman,Cameron/Mills,Fishback/Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
HD_65,"7,609","5,395",0,"6,160","6,641",12,"6,184","6,554","6,427","6,257","6,280","6,405",6,"6,296","6,329"
HD_66,"6,036","8,319",4,"9,545","4,552",26,"9,354","4,800","9,703","4,375","9,457","4,604",5,"9,480","4,551"
HD_67,"7,646","4,388",0,"5,416","6,389",7,"5,255","6,569","5,579","6,161","5,351","6,387",3,"5,355","6,322"
HD_68,"8,363","8,351",2,"9,888","6,454",4,"9,655","6,722","10,083","6,186","9,703","6,531",0,"9,724","6,457"
HD_69,"5,494","4,800",2,"5,649","4,469",9,"5,559","4,588","5,787","4,296","5,623","4,474",4,"5,696","4,361"
HD_70,"6,268","7,249",1,"8,884","4,371",1,"8,725","4,512","8,986","4,223","8,426","4,698",2,"8,908","4,252"
HD_71,"4,400","7,108",0,"8,431","2,868",1,"8,113","3,195","8,408","2,859","8,130","3,145",1,"8,304","3,055"
HD_72,"6,272","6,245",0,"8,199","4,093",0,"7,862","4,404","8,252","3,968","7,514","4,620",0,"8,204","4,001"
HD_73,"7,690","6,659",3,"8,962","5,166",3,"8,369","5,759","8,869","5,181","8,113","5,864",1,"8,589","5,428"
HD_74,"6,737","6,604",1,"8,576","4,418",3,"8,264","4,680","8,411","4,452","7,833","4,988",3,"8,444","4,388"
HD_75,"8,798","2,716",1,"4,415","6,883",1,"3,638","7,649","4,256","6,946","3,561","7,586",1,"3,750","7,415"
HD_76,"11,614","3,480",1,"6,141","8,735",6,"4,799","10,051","5,781","8,954","4,790","9,871",3,"4,991","9,681"
HD_77,"10,304","1,998",0,"3,500","8,593",2,"2,663","9,482","3,304","8,738","2,672","9,315",2,"2,816","9,172"
HD_78,"5,071","8,170",3,"9,294","3,666",39,"9,221","3,807","9,448","3,528","9,193","3,764",3,"9,333","3,638"
HD_79,"9,684","3,091",0,"5,431","7,089",2,"4,170","8,334","5,093","7,318","4,216","8,115",1,"4,317","8,021"
HD_80,"4,872","8,172",0,"9,985","2,837",2,"9,751","3,073","10,101","2,700","9,926","2,907",0,"10,236","2,669"
HD_81,"6,905","6,877",0,"8,880","4,687",2,"8,318","5,235","8,862","4,690","8,409","5,138",1,"8,651","4,911"
HD_82,"3,162","6,541",0,"7,734","1,799",0,"7,617","1,933","7,755","1,757","7,498","1,981",0,"7,691","1,814"
HD_83,"3,686","8,947",0,"10,446","1,952",5,"10,320","2,110","10,519","1,879","10,191","2,154",1,"10,489","1,929"
HD_84,"5,265","4,144",0,"5,668","3,340",1,"5,547","3,450","5,823","3,143","5,169","3,717",1,"5,695","3,229"
HD_85,"4,288","8,656",1,"10,249","2,478",1,"9,946","2,793","10,353","2,363","9,916","2,744",2,"10,170","2,533"
HD_86,"3,050","6,142",0,"7,269","1,734",0,"7,100","1,889","7,288","1,672","7,057","1,909",0,"7,255","1,714"
HD_87,"3,579","5,721",1,"6,910","1,946",0,"6,790","2,086","6,925","1,899","6,565","2,223",0,"6,799","1,975"
HD_88,"10,165","6,073",0,"8,774","7,211",2,"7,745","8,221","8,655","7,185","7,701","8,034",0,"8,000","7,747"
HD_89,"4,671","7,603",1,"9,174","2,845",1,"8,931","3,064","9,150","2,808","8,847","3,111",1,"9,159","2,805"
HD_90,"3,504","6,925",0,"8,432","1,671",0,"8,221","1,846","8,450","1,591","8,138","1,869",0,"8,446","1,625"
HD_91,"5,853","5,411",1,"7,090","4,009",0,"6,778","4,338","7,120","3,931","6,688","4,340",0,"7,005","4,059"
HD_92,"5,329","5,562",0,"6,806","3,711",0,"6,778","3,776","6,976","3,525","6,367","4,060",0,"6,836","3,614"
HD_93,"9,650","4,366",5,"6,539","7,249",6,"5,625","8,148","6,392","7,278","5,587","8,002",3,"5,772","7,819"
HD_94,"4,460","5,336",0,"6,581","2,875",0,"6,486","2,967","6,589","2,794","6,155","3,200",0,"6,531","2,820"
HD_95,"6,369","5,092",1,"6,749","4,245",0,"6,667","4,367","7,555","3,587","6,222","4,738",0,"6,872","4,119"
HD_96,"4,621","6,214",1,"7,454","3,180",2,"7,458","3,218","7,361","3,254","7,255","3,326",2,"7,569","3,040"
HD_97,"3,421","5,718",0,"7,015","1,980",0,"6,876","2,101","7,122","1,866","6,724","2,215",0,"7,041","1,914"
HD_98,"5,816","6,509",0,"7,625","4,458",1,"7,624","4,507","7,507","4,543","7,440","4,591",0,"7,710","4,333"
HD_99,"6,412","5,109",1,"6,561","4,552",0,"6,361","4,718","6,107","4,988","5,975","5,002",0,"6,495","4,502"
HD_100,"5,379","5,899",0,"6,950","4,078",1,"6,883","4,169","6,890","4,078","6,708","4,242",1,"6,952","4,002"
Laurel_AB,375,345,0,496,219,0,468,252,481,237,454,261,0,492,228
